snapshot_date,vertical,municipality,verified_opportunity_rows,distinct_properties,max_independent_evidence_families,avg_customer_score
2026-08-21,general_contracting,ALL_CT,456,456,4,70.8
2026-08-21,property_investment,ALL_CT,342,342,3,66.1
2026-08-21,restoration,ALL_CT,48,48,2,60.3
2026-08-21,roofing,ALL_CT,48,48,2,59.9
2026-08-21,public_adjusting,ALL_CT,45,45,2,58.6
2026-08-21,development,ALL_CT,1,1,1,54.9
2026-08-21,roofing,Torrington,19,19,2,59.5
2026-08-21,roofing,Vernon,15,15,2,61.9
2026-08-21,roofing,Burlington,6,6,2,60.8
2026-08-21,roofing,New Britain,4,4,2,54.3
2026-08-21,roofing,Killingly,2,2,2,60.7
2026-08-21,roofing,Middlebury,1,1,2,52.6
2026-08-21,roofing,Tolland,1,1,2,57.4
2026-08-21,restoration,Torrington,19,19,2,59.8
2026-08-21,restoration,Vernon,15,15,2,62.2
2026-08-21,restoration,Burlington,6,6,2,61.6
2026-08-21,restoration,New Britain,4,4,2,55.1
2026-08-21,restoration,Killingly,2,2,2,62.4
2026-08-21,restoration,Middlebury,1,1,2,52.8
2026-08-21,restoration,Tolland,1,1,2,57.6
2026-08-21,public_adjusting,Torrington,19,19,2,58.0
2026-08-21,public_adjusting,Vernon,15,15,2,58.8
2026-08-21,public_adjusting,Burlington,5,5,2,59.4
2026-08-21,public_adjusting,New Britain,3,3,2,53.4
2026-08-21,public_adjusting,Killingly,2,2,2,66.8
2026-08-21,public_adjusting,Tolland,1,1,2,62.2
2026-08-21,general_contracting,Hartford,54,54,3,73.6
2026-08-21,general_contracting,North Haven,38,38,4,72.9
2026-08-21,general_contracting,Fairfield,31,31,2,69.8
2026-08-21,general_contracting,Southington,20,20,3,70.8
2026-08-21,general_contracting,Bethel,19,19,3,75.9
2026-08-21,property_investment,Hartford,89,89,3,68.8
2026-08-21,property_investment,East Hartford,14,14,2,65.8
2026-08-21,property_investment,Manchester,13,13,2,64.0
2026-08-21,property_investment,Bridgeport,12,12,2,61.3
2026-08-21,property_investment,New Britain,10,10,2,65.3
